geometry,edit,control,delta,rho,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,converged,n_iters,energy_final,pin_path,error_msg
bar,static_far,mask,-0.04,0.25,0,ok,contained,0.21950792733858038,0.5676072022003437,1.5618307459280367,0.4708438030145725,0.0,True,89,0.012648112725547568,,
bar,static_far,mask,-0.04,0.25,1,ok,contained,0.21846702404490662,0.5660753844475648,1.5455281532916394,0.486755705144867,0.0,True,84,0.016315393514956922,,
bar,static_far,mask,-0.04,0.25,2,ok,contained,0.21943513725627276,0.5662698426840578,1.6180444376623075,0.4666195037555422,0.0,False,100,0.012650286463629933,,
bar,static_far,mask,-0.02,0.25,0,ok,contained,0.2194994109040181,0.5681514222414863,1.5772970041641656,0.4717757641913559,0.0,True,75,0.011908026600648155,,
bar,static_far,mask,-0.02,0.25,1,ok,contained,0.21855370469508295,0.5663654213614503,1.5648445932850308,0.48891839752127064,0.0,True,84,0.015494089716875981,,
bar,static_far,mask,-0.02,0.25,2,ok,contained,0.21950099080002727,0.5667883400218113,1.632419947991223,0.4683754684143506,0.0,False,100,0.01200904209466458,,
bar,static_far,mask,0.0,0.25,0,ok,contained,0.21942024914371336,0.5689449607555308,1.5843492341710574,0.47202928405895866,0.0,True,79,0.011257912765023904,,
bar,static_far,mask,0.0,0.25,1,ok,contained,0.21852956764324938,0.5670196036922931,1.570467798911324,0.48999311388553746,0.0,True,74,0.014811062075501983,,
bar,static_far,mask,0.0,0.25,2,ok,contained,0.2194248554487957,0.5679390408345243,1.6397225823801609,0.46930982003882155,0.0,True,97,0.011300607422716054,,
bar,static_far,mask,0.02,0.25,0,ok,contained,0.21914266574821104,0.5702053798895221,1.580591630573568,0.47016576274231925,0.0,True,78,0.010520887798220559,,
bar,static_far,mask,0.02,0.25,1,ok,contained,0.21813161447925872,0.5685113200019051,1.5613719047329007,0.48685035861719955,0.0,True,62,0.013933350857292852,,
bar,static_far,mask,0.02,0.25,2,ok,contained,0.2190423219583923,0.5700675534029706,1.6368703876991537,0.46753356699376336,0.0,True,90,0.010356981043686687,,
bar,static_far,mask,0.04,0.25,0,ok,contained,0.21855960549006923,0.572363830316296,1.5708051738117224,0.46464319250393293,0.0,True,66,0.00957643919101153,,
bar,static_far,mask,0.04,0.25,1,ok,contained,0.2170892926172879,0.5716119065028844,1.5374595698128435,0.47623807557942943,0.0,True,50,0.012452567733042765,,
bar,static_far,mask,0.04,0.25,2,ok,contained,0.21808676353992165,0.5729273450559907,1.6113354413743306,0.45834060519737396,0.0,True,76,0.009223511270579495,,
bar,static_far,mask,-0.04,0.5,0,ok,contained,0.21748408992497079,0.571985446351071,1.490667395510696,0.45220595052007373,0.0,True,72,0.01650612101235082,,
bar,static_far,mask,-0.04,0.5,1,ok,contained,0.2158189485118628,0.5722041495014242,1.4714764364489263,0.46142720114392116,0.0,True,68,0.020946729315044994,,
bar,static_far,mask,-0.04,0.5,2,ok,contained,0.21719325355711055,0.5717613869782286,1.551297830770731,0.4465055097163307,0.0,True,92,0.016077482696318732,,
bar,static_far,mask,-0.02,0.5,0,ok,contained,0.21740641606960048,0.5724986305194802,1.4989623262557095,0.4520472232886146,0.0,True,65,0.0159902596798588,,
bar,static_far,mask,-0.02,0.5,1,ok,contained,0.2157767568507232,0.5725130536674183,1.4783789421388238,0.4615977798250146,0.0,True,68,0.020376766350482682,,
bar,static_far,mask,-0.02,0.5,2,ok,contained,0.21716152644953313,0.5722029418334001,1.5575915520853814,0.44675422460099806,0.0,True,93,0.015663988024224234,,
bar,static_far,mask,0.0,0.5,0,ok,contained,0.21731867117613823,0.5728847196994522,1.5031301464983429,0.45158684877539224,0.0,True,67,0.015570762570186294,,
bar,static_far,mask,0.0,0.5,1,ok,contained,0.21574462778314663,0.5727314458342326,1.481669497761099,0.461625461163515,0.0,True,62,0.0199944099436588,,
bar,static_far,mask,0.0,0.5,2,ok,contained,0.21710755962009368,0.5726435754531878,1.5610781749991511,0.44676297187726555,0.0,True,90,0.015280246572542441,,
bar,static_far,mask,0.02,0.5,0,ok,contained,0.217208032973568,0.5733470139448184,1.5012170430409526,0.45075437037367744,0.0,True,68,0.015125607022855304,,
bar,static_far,mask,0.02,0.5,1,ok,contained,0.2155977427961734,0.5732959354482553,1.4788773763354626,0.46045817818100115,0.0,True,56,0.019493560206373873,,
bar,static_far,mask,0.02,0.5,2,ok,contained,0.2169944767738573,0.5733359370896947,1.5608441093589207,0.4462797015669479,0.0,True,86,0.014770481656271092,,
bar,static_far,mask,0.04,0.5,0,ok,contained,0.21699917730376386,0.574143052216984,1.496968841807459,0.44868578806264336,0.0,True,63,0.014529658554344172,,
bar,static_far,mask,0.04,0.5,1,ok,contained,0.21520607184949764,0.5745445627747271,1.470417331843742,0.4566317002340728,0.0,True,54,0.018591414974625332,,
bar,static_far,mask,0.04,0.5,2,ok,contained,0.21663139777959542,0.5745273385021488,1.5506272707215636,0.442952114227905,0.0,True,79,0.014044630913292864,,
