geometry,edit,K,gamma_norm,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,is_degenerate,kernel_live,n_edges,converged,energy_final,error_msg
bar,bar_bend,4,1.0,0,ok,global,,,3.6462195281768444,1.5899865380835607,0.0,False,True,4953,False,0.0007651705614191439,
bar,bar_bend,4,1.0,1,ok,global,,,3.488849939278741,1.7088056296135639,0.0,False,True,4987,False,0.0006735683756891671,
bar,bar_bend,4,1.0,2,ok,global,,,3.60104984577665,1.4820974781423841,0.0,False,True,4982,False,0.0009279448491605672,
bar,bar_bend,4,2.0,0,ok,global,,,3.662238116126182,1.577555453433381,0.0,False,True,4953,False,0.0004827098085204592,
bar,bar_bend,4,2.0,1,ok,global,,,3.4530183157806116,1.6854566982975645,0.0,False,True,4987,False,0.0004256681382019651,
bar,bar_bend,4,2.0,2,ok,global,,,3.5812952234968636,1.507088143858728,0.0,False,True,4982,False,0.0005773918169265152,
bar,bar_bend,4,3.0,0,ok,global,,,3.6680567934393493,1.5666451621613038,0.0,False,True,4953,False,0.00030484954591550355,
bar,bar_bend,4,3.0,1,ok,global,,,3.403121534686752,1.6626672104157225,0.0,False,True,4987,False,0.00026988491761881727,
bar,bar_bend,4,3.0,2,ok,global,,,3.539187907085342,1.5343482901712902,0.0,False,True,4982,False,0.0003613377760729382,
bar,bar_bend,4,5.0,0,ok,global,,,3.6581791202029046,1.547621921728178,0.0,False,True,4953,False,0.00012496804373208966,
bar,bar_bend,4,5.0,1,ok,global,,,3.27027101440909,1.6172868089801,0.0,False,True,4987,False,0.00011175867961895952,
bar,bar_bend,4,5.0,2,ok,global,,,3.3834828437933404,1.5956036360206858,0.0,False,True,4982,False,0.00014641913088975662,
bar,bar_bend,4,20.0,0,ok,global,,,9.561729284703155,1.4849494208709595,0.019180294770845954,False,True,4953,False,4.132758194647552e-06,
bar,bar_bend,4,20.0,1,ok,contained,0.508804444447799,0.2704897947399131,9.453796957365633,0.9709509179437222,0.01985161419691197,False,True,4987,False,4.207799926722484e-06,
bar,bar_bend,4,20.0,2,ok,global,,,9.498700267360478,1.5148057531259798,0.01625853071055801,False,True,4982,False,4.622895944155797e-06,
bar,bar_bend,4,50.0,0,ok,global,,,9.561729284703155,1.1926006849608304,0.45103977387441957,False,True,4953,False,3.352474217017075e-07,
bar,bar_bend,4,50.0,1,ok,global,,,9.453796957365633,1.044820214650069,0.44676158010828154,False,True,4987,False,5.000366867797433e-07,
bar,bar_bend,4,50.0,2,ok,global,,,9.498700267360478,1.2232425888216996,0.4393817743877961,False,True,4982,True,3.479489246291958e-09,
bar,bar_bend,6,1.0,0,ok,global,,,3.7257732373348618,1.5644406771136046,0.0,False,True,7254,False,0.0021000190612418075,
bar,bar_bend,6,1.0,1,ok,global,,,3.7474574360211346,1.5737170790790453,0.0,False,True,7281,False,0.0019349690059046144,
bar,bar_bend,6,1.0,2,ok,global,,,3.7421818504851574,1.3935450856485445,0.0,False,True,7237,False,0.0023438140076075813,
bar,bar_bend,6,2.0,0,ok,global,,,3.72381960200552,1.5751290569477177,0.0,False,True,7254,False,0.0011318506998101942,
bar,bar_bend,6,2.0,1,ok,global,,,3.6984538237557603,1.5831119929709319,0.0,False,True,7281,False,0.0010542410006207001,
bar,bar_bend,6,2.0,2,ok,global,,,3.7412910574989495,1.4039151175327091,0.0,False,True,7237,False,0.0013050395034976156,
bar,bar_bend,6,3.0,0,ok,global,,,3.7174827939453996,1.5796612737798212,0.0,False,True,7254,False,0.0006225926022577162,
bar,bar_bend,6,3.0,1,ok,global,,,3.6345141792642095,1.5842383902684725,0.0,False,True,7281,False,0.0005868862467501252,
bar,bar_bend,6,3.0,2,ok,global,,,3.7261277572597846,1.4168182434228136,0.0,False,True,7237,False,0.0007395476495597836,
bar,bar_bend,6,5.0,0,ok,global,,,3.6850076224426003,1.5755733372348235,0.0,False,True,7254,False,0.00020372329283528646,
bar,bar_bend,6,5.0,1,ok,global,,,3.4530002572395295,1.5640503216722421,0.0,False,True,7281,False,0.00019478392771651322,
bar,bar_bend,6,5.0,2,ok,global,,,3.642139689611503,1.4502163596117463,0.0,False,True,7237,False,0.0002539016327448995,
bar,bar_bend,6,20.0,0,ok,global,,,9.561729284703155,1.529994501066505,0.057761235180590016,False,True,7254,False,4.6583392578457365e-06,
bar,bar_bend,6,20.0,1,ok,global,,,9.453796957365633,1.0315484411118323,0.05864579041340475,False,True,7281,False,5.063793330231197e-06,
bar,bar_bend,6,20.0,2,ok,global,,,9.498700267360478,1.574793779154701,0.051955230067707615,False,True,7237,False,4.985251034626319e-06,
bar,bar_bend,6,50.0,0,ok,degenerate,,,9.561729284703155,1.0184282461973024,0.6071133167907361,True,False,7254,False,3.4261064509624193e-07,
bar,bar_bend,6,50.0,1,ok,degenerate,,,9.453796957365633,1.0979815885688191,0.6074715011674221,True,False,7281,False,4.993205660203979e-07,
bar,bar_bend,6,50.0,2,ok,degenerate,,,9.498700267360478,1.3725541208359917,0.5996960066325826,True,False,7237,True,6.107624616574273e-09,
