geometry,gamma_norm,K,seed,w_mean,w_min,w_max,w_std,w_spread,q000,q010,q020,q030,q040,q050,q060,q070,q080,q090,q100,floored_fraction,n_edges,kernel_live
bar,1.0,12,0,0.519391926644139,0.05579030194244553,0.9995455433916142,0.1923600692532538,0.9437552414491687,0.05579030194244553,0.2816975706034355,0.34989156275144584,0.4019967214665529,0.4489029467249808,0.4980637259335611,0.5514349106054756,0.616460710760109,0.6949294669848327,0.7992354292459382,0.9995455433916142,0.0,14102,True
bar,1.0,12,1,0.521048723315367,0.049454462941963914,0.9995002328939558,0.19099832692988103,0.950045769951992,0.049454462941963914,0.2882717500466976,0.35462102349856905,0.40316047024907226,0.4478329504861506,0.49765108283161175,0.553125430871019,0.6156695150962628,0.6945665341207774,0.8004751915920804,0.9995002328939558,0.0,14074,True
bar,1.0,12,2,0.5239232117304354,0.05741709019769451,0.9976731675653256,0.19045322844487958,0.9402560773676312,0.05741709019769451,0.2920809542115679,0.3564746043590639,0.40504058592017567,0.45352976871506856,0.5021167110457292,0.5559686045211842,0.6193101566912123,0.6977576855148715,0.7999136286836571,0.9976731675653256,0.0,14045,True
bar,2.0,12,0,0.3067703697062274,0.003112557790829242,0.9990912933140372,0.21556223259475685,0.995978735523208,0.003112557790829242,0.07935352128394403,0.12242410569420406,0.16160136516518037,0.20151385692588547,0.24806747606959423,0.3040804606412579,0.3800238079180906,0.4829269667514085,0.6387772820749237,0.9990912933140372,0.0,14102,True
bar,2.0,12,1,0.30797213295858755,0.0024457439048780824,0.999000715555072,0.2153321439965659,0.9965549716501939,0.0024457439048780824,0.08310060188503511,0.1257560705018451,0.16253836519850348,0.20055435156357873,0.24765660024450087,0.30594774228629285,0.3790489519220315,0.48242267058833904,0.6407605326161867,0.999000715555072,0.0,14074,True
bar,2.0,12,2,0.3107679640150121,0.0032967222467701874,0.9953517492798304,0.2149523648344902,0.9920550270330603,0.0032967222467701874,0.08531128384292669,0.12707414472205975,0.1640578776939628,0.20568925111292433,0.25212119151138035,0.30910109739312946,0.38354507018130746,0.4868657881793457,0.6398618196833425,0.9953517492798304,0.0,14045,True
bar,3.0,12,0,0.1999730162459373,0.00017365053896367463,0.9986372496734099,0.2036094430811312,0.9984635991344463,0.00017365053896367463,0.02235369416455251,0.04283516166647979,0.06496321986158587,0.09046016538977279,0.12355341238913908,0.16768058163807126,0.23426974674386558,0.33560018330451824,0.5105334523531424,0.9986372496734099,0.0,14102,True
bar,3.0,12,1,0.20079471329204923,0.0001209529513093273,0.998501447858523,0.2041210710343785,0.9983804949072137,0.0001209529513093273,0.023955555941126912,0.04459574657059128,0.06552904409126024,0.08981484701366002,0.12324657528309185,0.16922747678723057,0.23336888455461657,0.3350746426638298,0.5129129105297251,0.998501447858523,0.0,14074,True
bar,3.0,12,2,0.20295563650529702,0.00018928819859954994,0.9930357325456962,0.20389765816691904,0.9928464443470967,0.00018928819859954994,0.024917801207256247,0.04529870629751777,0.0664501000818209,0.0932861984863983,0.12659426346662472,0.17185051486945818,0.23753335751263982,0.3397143461922239,0.5118342001649104,0.9930357325456962,0.0,14045,True
bar,5.0,12,0,0.1046742232961366,5.404973379330823e-07,0.9977297813277803,0.16824385811023929,0.9977292408304425,5.404973379330823e-07,0.0017738443456705123,0.005244056361741265,0.0104981454421383,0.018228977557261515,0.030649583896743774,0.05098838851192907,0.08902808124777571,0.162070383935021,0.32611720390149307,0.9977297813277803,0.0,14102,True
bar,5.0,12,1,0.10523998273427439,2.958199434418024e-07,0.9975036608934399,0.16939429360586045,0.9975033650734965,2.958199434418024e-07,0.0019907211186427297,0.005608185901901817,0.0106509838674849,0.018012758415703736,0.030522827827146597,0.051774764466055785,0.08845823124610236,0.16164760449870363,0.32865435054243525,0.9975036608934399,0.0,14074,True
bar,5.0,12,2,0.10635141096187621,6.240306153741897e-07,0.9884198534867366,0.169150583959559,0.9884192294561212,6.240306153741897e-07,0.00212576961598722,0.005756294677458913,0.010901662970772906,0.01918796830705947,0.03191709654371104,0.05311919116888003,0.09110474827817652,0.16539529390187035,0.3275031821303902,0.9884198534867366,0.0,14045,True
bar,20.0,12,0,0.014185065428698344,8.534424430179748e-26,0.9909500018927473,0.07023998379322467,0.9909500018927473,8.534424430179748e-26,9.900611790274234e-12,7.562570007523813e-10,1.2146489600414405e-08,1.1042049170439707e-07,8.824672328171216e-07,6.75904202440451e-06,6.282146430079102e-05,0.0006899458445678138,0.011310867893948523,0.9909500018927473,0.29137710962983976,14102,True
bar,20.0,12,1,0.014566921535801554,7.657901903228005e-27,0.9900519716403686,0.07085548152166402,0.9900519716403686,7.657901903228005e-27,1.5705136041108408e-11,9.892127517671413e-10,1.2869423081333852e-08,1.0527394667759043e-07,8.679587145810497e-07,7.185757049911737e-06,6.122841578712813e-05,0.0006827742414365375,0.011666956242341731,0.9900519716403686,0.2893278385675714,14074,True
bar,20.0,12,2,0.014375903673710487,1.516434261121305e-25,0.9544778191082988,0.06892943404235848,0.9544778191082988,1.516434261121305e-25,2.042042628803726e-11,1.0979249945547104e-09,1.4124451216121791e-08,1.355551339710709e-07,1.037751832898842e-06,7.961731710267323e-06,6.889124765336905e-05,0.0007483291405825235,0.011504367342997344,0.9544778191082988,0.2824492702029192,14045,True
bar,50.0,12,0,0.003746342132836608,2.127823460826813e-63,0.9775283399620247,0.03862067183223968,0.9775283399620247,2.127823460826813e-63,3.0842891062015866e-28,1.572800162665108e-23,1.6260322986023233e-20,4.05159821868062e-18,7.315563025520087e-16,1.1877167301482478e-13,3.1280244857032914e-11,1.250372181890977e-08,1.3606463024241883e-05,0.9775283399620247,0.7968373280385761,14102,False
bar,50.0,12,1,0.0037419364612169964,5.131856418445634e-66,0.9753151771922279,0.035959479725482635,0.9753151771922279,5.131856418445634e-66,9.774719333875022e-28,3.077689262667129e-23,1.8788778625010498e-20,3.595856056062418e-18,7.018554413640054e-16,1.3841441922311448e-13,2.933476716850399e-11,1.2181282127323363e-08,1.4702597076414255e-05,0.9753151771922279,0.7964331391217848,14074,False
bar,50.0,12,2,0.003483512642190151,8.954863493737789e-63,0.890050402538353,0.03346199203461618,0.890050402538353,8.954863493737789e-63,1.8843523938624874e-27,3.9942446957032373e-23,2.37100160592181e-20,6.7653447105444345e-18,1.0970685691847692e-15,1.7886587013297332e-13,3.939218996602683e-11,1.5319054728327252e-08,1.4195806488559317e-05,0.890050402538353,0.7925240299038804,14045,False
blob,1.0,12,0,0.5218837683704881,0.06248800791323162,0.998474240818515,0.18541407759653863,0.9359862329052834,0.06248800791323162,0.3005832909591648,0.36027951059940555,0.4043823790066716,0.44911837954352923,0.49677892035164917,0.5509595327247887,0.6135824395300762,0.6904284909187236,0.7934319882914813,0.998474240818515,0.0,13866,True
blob,1.0,12,1,0.5231491628598901,0.11196494608271358,0.9987780632622046,0.1848013361360162,0.8868131171794911,0.11196494608271358,0.3010306974901309,0.3602868608063671,0.4054345634373763,0.4493887248852979,0.4983742532013676,0.5520796334118487,0.6150593741253524,0.6911327222793527,0.7933519934876919,0.9987780632622046,0.0,13941,True
blob,1.0,12,2,0.5217181187368158,0.09523758910632102,0.9994604749255782,0.18233316801907012,0.9042228858192571,0.09523758910632102,0.30638089926893775,0.36270120065895056,0.4071234490177608,0.44819091893579605,0.4952243255079313,0.5476373620007291,0.6084152640991548,0.6841163483473691,0.7898575174848872,0.9994604749255782,0.0,13850,True
blob,2.0,12,0,0.30674104785955647,0.0039047511329640978,0.99695080957811,0.21015788525135554,0.9930460584451459,0.0039047511329640978,0.09035032531070353,0.1298013257577472,0.16352510853103197,0.20170731884380558,0.24678930042621378,0.30355640670031747,0.3764834101055935,0.47669150107230596,0.6295343243813643,0.99695080957811,0.0,13866,True
blob,2.0,12,1,0.30783658043866063,0.01253614915130496,0.9975576196538005,0.2104766074432794,0.9850214705024956,0.01253614915130496,0.09061948083139469,0.12980662206970656,0.16437718522965591,0.20195022605403398,0.24837689625402087,0.3047919216281613,0.37829803369947024,0.4776644398052689,0.6294073855708947,0.9975576196538005,0.0,13941,True
